,aice,asnow,MF
0,8.269343445770438e-06,1.0378723885764534e-06,0.00012149024690134727
1,1.5515231606715112e-06,2.5687316803365514e-06,6.111805786176815e-05
2,1.060124690738776e-05,1.998749451031124e-06,0.0002640090221771732
3,6.143648025425033e-06,1.2703015695246372e-06,0.0002518775924405654
4,5.753132121665982e-06,5.426496066404887e-07,0.00011947243687011132
5,1.0125120444265581e-05,1.4950231419576318e-06,7.462470537611285e-05
6,6.67438624681514e-06,1.444998425032171e-07,0.00034406270087540005
7,4.440173915973763e-06,8.854942864232694e-07,0.00051112966405397
8,4.417543130562566e-06,2.0008986397812706e-06,0.0002974321613631985
9,7.485792520361707e-06,8.97264031631806e-07,3.6790478743956836e-05
10,3.657054518699112e-06,1.3948350703288077e-06,0.0001865593454735755
11,5.406382390992933e-06,2.904076825173285e-06,0.00026183640387401674
12,1.2626505367628098e-07,1.296130067756775e-06,0.0003739760358697632
13,6.4576296519126e-06,2.54918788787835e-06,0.0003559549931702623
14,3.1258443678873957e-06,1.4841196126100563e-06,0.00026783975999953663
15,3.7402334364295185e-06,1.4237626127352809e-06,0.0003161591275514025
16,4.933692435508067e-06,2.308460241918608e-06,0.0005506835404552197
17,1.3352392723312536e-05,1.740408652052755e-06,0.00029104548664885276
18,8.53798458051197e-06,1.0717211326996634e-06,0.0002661956549961705
19,5.259130363784545e-07,2.9680361532188745e-06,0.00018000548644182642
20,2.402975147076523e-06,9.96028795549455e-07,0.0006604343742335429
21,1.529908756772715e-06,7.077714807034627e-07,0.00029392073327194683
22,8.407509063198e-06,1.6038263734428996e-06,0.0005511058831084781
23,9.199393415820015e-06,1.0376559075479823e-06,0.00011151510421143006
24,7.553549185978604e-06,2.134769916105436e-06,0.0003333695338293731
25,8.490197827867486e-06,2.545825365705519e-08,0.0003255985693217122
26,1.984275234836351e-06,1.2036204757448345e-06,5.375312659284333e-05
27,2.3790558011527208e-06,1.1103620566736118e-06,0.00027149047775051606
28,3.2819091084008425e-07,2.4910416791583423e-06,9.779174542543992e-05
29,2.4504041796464254e-06,3.061364674235606e-06,0.00028273877136133466
30,7.338229932985572e-06,1.988716155322342e-06,0.00019948459740667593
31,1.6401531538820008e-06,1.82912294711888e-06,0.00048056678682366913
32,6.253351844741122e-06,2.256456026502625e-06,0.0003627923525387119
33,1.808843362214662e-06,6.586228139986116e-07,0.0003776160800562643
34,1.5073236615219685e-06,1.2966583836223504e-06,0.0001748984472085003
35,4.077601568245997e-08,5.403188016000858e-07,0.00021366354463418593
36,4.798117153792265e-06,4.238511897035612e-07,0.0004729409804962144
37,5.550579858238426e-06,1.2094127038966204e-06,0.0003719188286411005
38,6.087974381209277e-06,1.0092355586311707e-06,0.0001667016472299484
39,3.555146428856726e-06,6.094791378447702e-07,0.0003163953328327996
40,2.100045034406007e-06,1.4333467966911772e-06,0.00015851129023843966
41,3.0780487845299038e-06,2.665727300327281e-06,0.0005404708313430386
42,1.6009813607823568e-06,7.417885346207329e-07,0.00030214992612695094
43,1.5433848615577233e-06,4.024119800218342e-06,0.00026461191314982766
44,1.6131265730995094e-06,1.216973955252545e-06,0.00018819180123826848
45,2.6687051849370337e-06,3.5491012903826724e-07,0.00028633665427986194
46,1.1979226689869318e-05,1.4078739317119944e-06,0.0003840519435333624
47,5.0990328372025444e-06,1.5936845205997589e-06,0.0002435691783772069
48,5.057792302060882e-06,5.0358615846938e-07,0.0005249635731556282
49,6.432591688834936e-06,3.8738162999394663e-07,0.00036477077243153756
50,6.851411402923175e-06,1.118997914989187e-06,0.00021199551400674207
51,8.75878367593557e-06,1.1330976242462747e-06,0.00015885311786859578
52,3.129051779760084e-06,1.3567135853773605e-06,0.0004003787320088621
53,5.708894664624842e-06,1.7305739813769053e-06,0.0004296727800586938
54,6.925935926313915e-07,1.2873507160301477e-06,0.00027504107013127124
55,6.089157151831276e-06,1.6591445017188092e-06,0.0003289741702683002
